country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guinea,33000000,0,,0,0,17000000,,6000000,,0,1000000,4000000,4000000,18000000,24000000,2000000,18000000,8000000,45000000,69000000,,1000000,1000000,1000000,,,40000000,,,60000000,1000000,1000000,,,,,,,4000000,,18000000,6000000,,2000000,,1000000,,0,,,4000000,1000000,4000000,,6000000,,,2000000,,
Guinea-Bissau,,,,,,,,,,,,,,,21000000,10000000,12000000,,14000000,24000000,2000000,1000000,,,11000000,,35000000,,20000000,,20000000,6000000,,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,0,,,2000000,,,2000000,0,15000000,5000000,1000000,5000000,4000000,14000000,,3000000,7000000,23000000,,,,,,,,,,,,,,,,7000000,2000000,,,,,,0,,,,,,,,,,0,2000000
Haiti,5000000,,,,2000000,,,,,8000000,,,,3000000,4000000,1000000,1000000,0,9000000,,,3000000,4000000,3000000,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,14000000,,,1000000,6000000,,,19000000,,,,2000000,,31000000,30000000,25000000,29000000,9000000,13000000,27000000,30000000,33000000,25000000,35000000,75000000,13000000,44000000,17000000,,,,,,,,,,,,,,,,,,,0,,,0,0,20000000,13000000,8000000,,10000000,1000000,23000000
Hungary,599000000,575000000,290000000,379000000,747000000,667000000,150000000,290000000,271000000,447000000,22000000,247000000,121000000,402000000,567000000,498000000,378000000,394000000,589000000,485000000,387000000,143000000,142000000,117000000,251000000,229000000,79000000,80000000,35000000,59000000,14000000,22000000,,925000000,2000000,1000000,156000000,99000000,46000000,72000000,14000000,14000000,,,72000000,13000000,253000000,196000000,5000000,4000000,18000000,9000000,,2000000,7000000,,14000000,6000000,36000000,13000000
Iceland,20000000,,,,,,,,27000000,,,,,,,27000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000000,,,,,,,,
India,544000000,1120000000,371000000,648000000,920000000,1050000000,994000000,1270000000,1660000000,1520000000,872000000,1860000000,1800000000,1320000000,1290000000,1100000000,1930000000,2390000000,1200000000,1190000000,1780000000,2140000000,2290000000,2660000000,2770000000,2980000000,4130000000,3840000000,3760000000,3580000000,2720000000,1880000000,1200000000,735000000,883000000,1480000000,862000000,1670000000,758000000,1220000000,995000000,1200000000,2030000000,2760000000,2230000000,1200000000,1490000000,2280000000,1860000000,1860000000,2910000000,3600000000,4400000000,5380000000,3340000000,3050000000,2990000000,2930000000,1490000000,2960000000
Indonesia,441000000,895000000,1070000000,180000000,518000000,338000000,16000000,1000000,1000000,9000000,28000000,92000000,5000000,73000000,73000000,4000000,156000000,60000000,126000000,377000000,910000000,797000000,360000000,228000000,100000000,289000000,432000000,264000000,294000000,248000000,202000000,11000000,52000000,215000000,473000000,286000000,380000000,106000000,90000000,165000000,151000000,27000000,68000000,356000000,79000000,36000000,65000000,587000000,244000000,441000000,225000000,250000000,214000000,800000000,1190000000,438000000,381000000,1180000000,338000000,219000000
Iran,11000000,107000000,110000000,137000000,141000000,182000000,442000000,381000000,894000000,1240000000,1190000000,1730000000,1410000000,2050000000,2850000000,5170000000,4470000000,5560000000,3740000000,535000000,278000000,487000000,541000000,509000000,469000000,548000000,803000000,833000000,478000000,192000000,454000000,1020000000,432000000,987000000,450000000,294000000,615000000,178000000,381000000,323000000,418000000,524000000,435000000,282000000,121000000,57000000,423000000,331000000,62000000,97000000,99000000,100000000,46000000,13000000,13000000,13000000,413000000,4000000,4000000,3000000
Iraq,168000000,118000000,278000000,201000000,321000000,248000000,341000000,345000000,368000000,405000000,154000000,187000000,624000000,1860000000,1440000000,1100000000,1140000000,1090000000,1820000000,1360000000,2240000000,2590000000,3290000000,3360000000,4550000000,3980000000,3370000000,3450000000,1890000000,1490000000,779000000,,,,,,,,,,,,,,71000000,186000000,312000000,275000000,378000000,398000000,434000000,574000000,476000000,353000000,665000000,1460000000,1790000000,989000000,543000000,175000000
Ireland,1000000,,,2000000,1000000,,,,,,7000000,9000000,22000000,3000000,1000000,4000000,3000000,5000000,28000000,31000000,48000000,15000000,,,11000000,,38000000,,24000000,,,11000000,,,43000000,,,,3000000,35000000,0,45000000,22000000,,19000000,5000000,13000000,19000000,22000000,0,5000000,2000000,2000000,,40000000,43000000,43000000,2000000,7000000,36000000
