country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Singapore,,,,,,,,,,,,2000000,,,,17000000,,,30000000,72000000,,15000000,,25000000,91000000,,,81000000,25000000,87000000,44000000,3000000,3000000,11000000,30000000,,0,46000000,23000000,11000000,11000000,,4000000,,65000000,,,,,31000000,25000000,13000000,76000000,1000000,2000000,48000000,47000000,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173000000,37000000,97000000,59000000,55000000,10000000,125000000,37000000,53000000,32000000,,46000000,,7000000,22000000,8000000,,,,4000000,1000000,8000000,3000000,18000000,22000000,12000000,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
South Africa,27000000,33000000,,,,,,4000000,,14000000,3000000,5000000,12000000,1000000,2000000,18000000,16000000,0,,,39000000,39000000,1000000,,,25000000,25000000,28000000,25000000,0,,54000000,75000000,54000000,11000000,17000000,31000000,7000000,22000000,28000000,21000000,37000000,17000000,43000000,72000000,30000000,187000000,127000000,141000000,103000000,235000000,71000000,184000000,103000000,65000000,58000000,74000000,77000000,65000000,145000000
South Korea,,,,,,,,,,,,,141000000,,,,,,,105000000,105000000,130000000,65000000,,126000000,33000000,78000000,,51000000,48000000,72000000,118000000,,60000000,7000000,28000000,24000000,21000000,32000000,,10000000,228000000,,96000000,73000000,108000000,158000000,279000000,109000000,224000000,197000000,345000000,218000000,347000000,163000000,101000000,479000000,751000000,1070000000,688000000
Spain,1000000,5000000,6000000,6000000,7000000,21000000,21000000,7000000,7000000,6000000,70000000,140000000,4000000,4000000,84000000,267000000,46000000,25000000,38000000,18000000,10000000,130000000,251000000,352000000,242000000,85000000,177000000,148000000,141000000,174000000,108000000,100000000,65000000,98000000,237000000,82000000,105000000,625000000,162000000,43000000,46000000,8000000,16000000,95000000,52000000,108000000,840000000,601000000,602000000,951000000,263000000,1430000000,546000000,728000000,1050000000,1160000000,471000000,820000000,1030000000,1060000000
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,11000000,,,,,,
Sweden,38000000,45000000,44000000,13000000,22000000,32000000,56000000,55000000,60000000,36000000,262000000,550000000,138000000,15000000,75000000,122000000,70000000,53000000,54000000,263000000,158000000,130000000,125000000,117000000,224000000,209000000,317000000,233000000,515000000,403000000,231000000,156000000,149000000,103000000,111000000,196000000,347000000,102000000,336000000,386000000,359000000,895000000,163000000,515000000,294000000,534000000,390000000,336000000,453000000,409000000,659000000,694000000,478000000,388000000,336000000,175000000,261000000,82000000,159000000,206000000
Switzerland,442000000,500000000,530000000,337000000,379000000,484000000,367000000,261000000,91000000,104000000,18000000,42000000,34000000,54000000,89000000,395000000,480000000,260000000,196000000,446000000,482000000,513000000,398000000,314000000,512000000,344000000,337000000,303000000,352000000,311000000,454000000,482000000,446000000,234000000,173000000,139000000,186000000,118000000,211000000,280000000,182000000,209000000,166000000,185000000,255000000,253000000,296000000,302000000,459000000,229000000,251000000,327000000,230000000,175000000,330000000,471000000,212000000,173000000,237000000,254000000
Syria,,,,,,,,,,,17000000,,,,2000000,2000000,,0,,,,,178000000,46000000,1000000,29000000,31000000,,15000000,,,,40000000,40000000,,,0,0,,,,,,,,,3000000,,,20000000,20000000,,,,,,,,,
